s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
-4,-3,78990,453.32,1457.4,0.020519,0.24661,same,0.065797,0.0097004,0.026673,0.024362,0.026697,0.039821,0.071681,,3.1938,0.66979,2.2286,1.6294,1.7774,powerlaw,13.73,0.077539,6.756,2.0079e-05,0.14186,53.402,1.8596e-05,0.40673,2.8135,6.7889e-05,0.00010444,0.025505,powerlaw,11.165,powerlaw,2.9352,0.44655,0.25278,0.14427,3.5701e-05,1.2067e-06,3.8562e-07,1.7165e-07
-3,-2,78492,418.89,1471.4,0.026879,0.42284,same,0.048742,0.0197,0.034631,0.036349,0.044096,0.073374,0.12288,,0.76397,1.0517,0.8752,1.1389,1.3375,powerlaw,4.2305,0.12965,7.6429,1.8596e-05,0.64094,500,0.00011051,0.46272,2.9254,0.00014302,0.00010444,0.025505,powerlaw,9.0972,powerlaw,4.0135,0.46072,0.32545,0.15398,7.3311e-05,2.1653e-06,6.6126e-07,2.8502e-07
-2,-1,81765,386.35,1469.8,0.020957,0.4847,same,0.044742,0.017435,0.021468,0.034532,0.042685,0.070179,0.13496,,0.5034,,0.88819,1.3007,1.2317,powerlaw,12.212,0.1876,23.964,0.00010444,0.52517,500,0.0023926,0.65418,3.3084,4.7014e-05,0.0028375,0.025505,powerlaw,30.44,powerlaw,5.9444,0.75231,0.36023,0.17264,2.208e-05,4.1128e-07,1.0754e-07,4.1517e-08
-1,0,78155,354.35,1472.6,0.013865,0.32589,same,0.062456,0.010329,0.018353,0.027693,0.034265,0.051804,0.093877,,0.64033,,0.90471,1.7013,1.6571,powerlaw,9.8757,0.1383,25.388,0.0022026,0.38839,500,0.0037141,0.68897,3.3779,2.0289e-05,0.024904,0.025505,gaussian,34.2,powerlaw,11.636,0.836,0.43407,0.18373,9.3788e-06,1.6066e-07,4.0839e-08,1.5454e-08
0,1,82328,332.64,1472.7,0.0049378,0.087113,same,0.056063,0.0038351,0.015748,0.018334,0.022066,0.024872,0.032066,,1.0209,0.86825,0.87644,1.0936,1.811,gaussian,3.863,0.050723,14.337,0.00011051,0.20135,500,1.7922e-05,0.55719,3.1144,9.7428e-06,1.8596e-05,0.025505,powerlaw,18.901,gaussian,9.8633,0.60401,0.4424,0.20261,2.412e-37,0,0,0
1,2,82710,302.37,1471.2,0.010083,0.25148,same,0.042091,0.010799,0.020391,0.022467,0.026425,0.03978,0.072581,,0.97238,1.3384,0.85674,1.3987,1.693,powerlaw,2.639,0.097592,18.265,0.00014974,0.35038,500,0.0023926,0.52911,3.0582,3.4263e-05,0.00010444,0.025505,powerlaw,18.115,powerlaw,4.5891,0.52225,0.2673,0.22539,1.7038e-05,4.2889e-07,1.2411e-07,5.1491e-08
2,3,84912,297.2,1473.3,0.016857,0.39294,same,0.048081,0.013947,0.028122,0.030691,0.035971,0.056607,0.1081,,1.0893,1.7708,0.82761,2.1156,1.7549,powerlaw,0.73797,0.12081,11.803,2.0079e-05,0.51097,500,0.00010444,0.49385,2.9877,8.3365e-05,0.00010444,0.025505,powerlaw,9.0866,powerlaw,2.031,0.44983,0.2005,0.23953,4.2128e-05,1.1544e-06,3.4377e-07,1.4554e-07
3,4,83636,315.37,1481.5,0.027517,0.46083,same,0.049895,0.0039696,0.033722,0.034434,0.040668,0.065791,0.12914,,1.0365,1.8202,0.79085,3.124,1.5722,powerlaw,2.9997,0.1245,7.5106,1.8596e-05,0.62248,500,0.00051901,0.45587,2.9117,0.00013762,0.0005576,0.025505,powerlaw,6.4165,powerlaw,1.9785,0.40065,0.20413,0.22273,7.0762e-05,2.1248e-06,6.525e-07,2.8235e-07
4,5,87692,303.22,1507.6,0.027318,0.38735,same,0.049864,0.015055,0.041756,0.037591,0.043379,0.055925,0.10797,,1.2228,0.80009,1.2532,1.6871,1.795,powerlaw,23.263,0.10642,3.5463,1.7922e-05,0.16212,21.577,1.7922e-05,0.35733,2.7147,0.00019518,0.00011051,0.025505,powerlaw,3.2663,powerlaw,2.5065,0.33005,0.19295,0.23858,0.00010498,3.9966e-06,1.3294e-06,6.0883e-07
5,6,83219,297.52,1504,0.027603,0.37015,same,0.052506,0.022778,0.044926,0.041844,0.052356,0.064444,0.097634,,1.092,0.7964,0.84713,1.128,1.4988,powerlaw,24.436,0.11566,3.7931,1.7922e-05,0.16225,18.123,1.8596e-05,0.35914,2.7183,0.00021994,0.0023926,0.025505,powerlaw,3.243,exponential,3.7882,0.31679,0.26235,0.2341,0.0001182,4.4802e-06,1.4881e-06,6.8078e-07
6,7,73419,409.28,1490.2,0.02065,0.3099,same,0.054554,0,0.037686,0.048563,0.053654,0.055234,0.081064,,1.3387,1.0973,1.0491,1.0477,2.4903,exponential,3.5761,0.11085,5.4145,0.00051901,0.16064,26.725,0.0087475,0.41006,2.8201,0.00014845,0.0022026,0.025505,exponential,6.9249,exponential,3.9111,0.45369,0.26053,0.15033,7.7336e-05,2.0906e-06,6.1947e-07,2.6135e-07
7,8,82749,442.05,1515.4,0.029917,0.2774,same,0.067639,0.027933,0.042982,0.041312,0.046978,0.05157,0.081449,,1.7558,0.74009,0.93513,1.3301,1.9462,powerlaw,21.658,0.10264,3.1618,0.00032534,0.13117,11.803,0.0014157,0.32716,2.6543,0.00019659,0.0015928,0.025505,powerlaw,3.1484,powerlaw,2.9674,0.32714,0.2441,0.15294,0.00010721,4.3889e-06,1.4961e-06,6.9715e-07
